"篇名","条","見出し","山海経訳","現行地","距離補正","音韻データ","アイヌ語解釈","出典"
"海内南経","窫窳","窫窳","「窫窳は龍の首で弱水の中に住む。狌狌人名を知るの西にあり、その状は龍の首の如くで人を食う」","狌狌（九嶷山の西）の西。","","上古音：「㝣」- -／- -／ʔ iæt／ʔ eat／· iat
上古音：「窳」- -／ʎ ǐwa／ɡ juaɡ／ɣr iwaɣ／gw rjagx","アイヌ語：窫窳＝「イ(i)・アッ(at)・キル(kir)・アク(ak)」＝「それが・たくさんある・山脚の・弟（のように小さいもの）」","jomon2_bnum68.html"
"海内南経","建木","建木","「木がある。その状は牛の如く、それを引けば皮がむけて纓（かんむりのひも）の如く、また黄蛇のよう。その歯は羅（うすぎぬ）の如く、その実は欒（おうち）の如く、その木は蓲（はりにれ）のよう、その名は建木。窫窳の西、弱水のほとりにあり」","狌狌（九嶷山の西）の西方。窫窳の西。","","上古音：「建」k i̯ăn／k ǐan／k jăn／k jan／k janh
上古音：「木」m uk／m ɔk／m ûk／m ewk／m uk","アイヌ語：建木＝「キル(kir)・アゥ(aw)・ウン(un)・ム(mu)・ク(ku)」＝「山脚の・角、枝分かれ・にある・ふさがっている・矢（のように鋭いもの）」
※アイヌ語「ク＝弓」。中国大陸、朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum68.html"
"海内南経","氐人国","氐人","「氐人国は建木の西にあり、その人となり、人面で魚の身、足がない」","狌狌（九嶷山の西）の西方。窫窳の西方。建木の西。","","上古音：「氐」- -／t ǐei／t jed／t ier／t rjid
上古音：「氐」t iər／t iei／t ied／t er／t id
上古音：「人」ȵ i̯ĕn／ȵ ǐen／ȵ jen／n jien／n jin","アイヌ語：氐人＝「テュ(tu)・アッ(at)・ニ(ni)・エ(e)・エン(en)」＝「峰が・たくさんある・棒（のような細長い峰）が・そこで・突き出ている（ところ）」","jomon2_bnum68.html"
"海内南経","巴蛇","巴蛇","「巴蛇は象を食い、三年にしてその骨を排出した。君子がこれを服用すれば心腹の病なし。その蛇は青・黄・赤・黒。犀牛の西にあり」","犀牛（狌狌［九嶷山の西］の西北）の西","","上古音：「巴」p ɔ／p ea／p uăɡ／p rwaɣ／p rag
上古音：「蛇」d ia／ʎ ǐai／d ja／r ia／r ar
上古音：「蛇」- -／- -／tʰ ɑ／tʰ a／th ar
上古音：「蛇」ʰ ia／ȡ iai／- -／- -／d jar","アイヌ語：巴蛇
＝「プ(pu)・アク(ak)・テュ(tu)・アゥ(aw)」＝「倉の（屋根のような三角山の）・弟の（ように小さい）・峰の・角、枝分かれ」
or「プ(pu)・アク(ak)・リ(ri)・アゥ(aw)」＝「倉の（屋根のような三角山の）・弟の（ように小さい）・高い・角、枝分かれ」","jomon2_bnum68.html"
"海内南経","旄馬","旄馬","「旄馬、その状は馬の如く、四つの膝に毛あり、巴蛇の西北、高山の南にあり」","九嶷山の西北方","","上古音：「旄」m oɡ／m au／m ɔ̂ɡ／m aw／m agw
上古音：「馬」m ɔ／m ea／m uăɡ／m rwaɣ／m ragx","アイヌ語：旄馬
＝「マク(mak)・ム(mu)・アク(ak)」＝「奥の・ふさがっている・弟（ように小さい峰）」
or「ム(mu)・アク(ak)・ム(mu)・アク(ak)」＝「ふさがっている・弟の（ように小さい峰）・ふさがっている・弟」※たくさんのふさがっているような小さな峰。","jomon2_bnum68.html"
"海内西経","疏属山","疏属","「弐負の臣を危といい、危と弐負は窫窳（あつゆ）を殺した。そこで帝は（窫窳を）疏属山にしばりつけた。その右足に桎（あしかせ）をし、両手と髪を後ろでしばり、これを頂上の木につないだ。開題の西北にあり」","陝西省楡林市綏徳県疏属山。","","上古音：「疏」ʂ i̯o／ʃ ǐa／s aɡ／s iaɣ／s rjag
上古音：「屬」ȶ i̯uk／ȶ ǐwɔk／ȶ juk／t jewk／t juk","アイヌ語：疏属＝「シル(sir)・アク(ak)・テュク(tuk)」＝「山の・弟の（ように小さい）・小山」","jomon2_bnum68.html"
"海内西経","疏属山","開題","「弐負の臣を危といい、危と弐負は窫窳（あつゆ）を殺した。そこで帝は（窫窳を）疏属山にしばりつけた。その右足に桎（あしかせ）をし、両手と髪を後ろでしばり、これを頂上の木につないだ。開題の西北にあり」","陝西省楡林市綏徳県疏属山。","","上古音：「開」kʰ ər／kʰ əi／kʰ ə̂d／kʰ ər／kh əd
上古音：「題」dʰ ieɡ／d ie／dʰ ieɡ／d eɣ／d ig","アイヌ語：開題＝「ク(ku)・アッ(at)・テュク(tuk)」＝「矢（のように鋭い峰）が・たくさんある・小山」
※アイヌ語「ク＝弓」。中国大陸、朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum68.html"
"海内西経","大沢","大沢","「大沢は方百里、群鳥の生まれるところ、また羽の毛がえするところ。鴈門の北にあり」","山西省代県雁門山（別名勾注山）の北。","","上古音：「大」tʰ ɑd, dʰ ɑd／d at／dʰ ɑd／d ar／d adh
上古音：「澤」dʰ ăk／d eak／dʰ ăk／d rak／d rak","アイヌ語：大沢＝「テュ(tu)・アッ(at)・テュ(tu)・アク(ak)」＝「峰が・たくさんある・峰の・弟（のように小さいもの）」","jomon2_bnum68.html"
"海内西経","鴈門山","鴈門","「鴈門山、鴈がこのあたりから現れる。高柳の北にあり。高柳は代の北にあり」","山西省代県雁門山（別名勾注山）。","","上古音：「鴈」ŋ an／ŋ ean／ŋ an／ŋ ran／ng ranh
上古音：「門」m wən／m uən／m uə̂n／m wən／m ən","アイヌ語：鴈門＝「キル(kir)・アゥ(aw)・ウン(un)・ム(mu)・アゥ(aw)・ウン(un)」＝「山脚の・角、枝分かれ・にある（ところ）・ふさがっている・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"海内西経","鴈門山","高柳","「鴈門山、鴈がこのあたりから現れる。高柳の北にあり。高柳は代の北にあり」","山西省代県雁門山（別名勾注山）。","","上古音：「高」k oɡ／k au／k ɔ̂ɡ／k aw／k agw
上古音：「柳」l -／l ǐu／l jŏɡ／l iəw／l jəgwx","アイヌ語：高柳＝「ク(ku)・アク(ak)・リ(ri)・アク(ak)」＝「矢の（ように鋭い）・弟（のように小さいもの）・高い・弟」
※アイヌ語「ク＝弓」。中国大陸、朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum68.html"
